timestamp,message
1683003946348,2023-05-02 05:05:46.348 ERROR 1 --- [nio-8080-exec-8] s.cs218.news.controller.NewsController   : 403 Forbidden from GET https://gnews.io/api/v4/search?q=Amazon&apikey=afbaeed6659dce03e89a289990194fd0&lang=en&country=us
1683003946349,"10.0.1.167 - - [02/May/2023:05:05:46 +0000] ""GET /news/search?keyword=Amazon HTTP/1.1"" 200 642"
1683003946386,"10.0.1.167 - - [02/May/2023:05:05:46 +0000] ""POST /news/user/logout HTTP/1.1"" 302 -"
1683003946414,"10.0.1.167 - - [02/May/2023:05:05:46 +0000] ""GET /news/user/login HTTP/1.1"" 200 606"
1683003946550,2023-05-02 05:05:46.550 ERROR 1 --- [nio-8080-exec-2] s.cs218.news.controller.NewsController   : 403 Forbidden from GET https://gnews.io/api/v4/search?q=Amazon&apikey=afbaeed6659dce03e89a289990194fd0&lang=en&country=us
1683003946551,"10.0.1.167 - - [02/May/2023:05:05:46 +0000] ""GET /news/search?keyword=Amazon HTTP/1.1"" 200 642"
1683003946572,"10.0.1.167 - - [02/May/2023:05:05:46 +0000] ""POST /news/user/logout HTTP/1.1"" 302 -"
1683003946598,"10.0.1.167 - - [02/May/2023:05:05:46 +0000] ""GET /news/user/login HTTP/1.1"" 200 606"
1683003947918,"10.0.1.167 - - [02/May/2023:05:05:47 +0000] ""POST /news/user/login?username=user2&password=user2 HTTP/1.1"" 302 -"
1683003947943,"10.0.1.167 - - [02/May/2023:05:05:47 +0000] ""GET /news HTTP/1.1"" 200 975"
1683003948066,2023-05-02 05:05:48.065 ERROR 1 --- [nio-8080-exec-5] s.cs218.news.controller.NewsController   : 403 Forbidden from GET https://gnews.io/api/v4/search?q=Amazon&apikey=afbaeed6659dce03e89a289990194fd0&lang=en&country=us
1683003948067,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""GET /news/search?keyword=Amazon HTTP/1.1"" 200 642"
1683003948093,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""POST /news/user/logout HTTP/1.1"" 302 -"
1683003948101,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""POST /news/user/login?username=user2&password=user2 HTTP/1.1"" 302 -"
1683003948119,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""GET /news/user/login HTTP/1.1"" 200 606"
1683003948131,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""GET /news HTTP/1.1"" 200 975"
1683003948273,2023-05-02 05:05:48.273 ERROR 1 --- [nio-8080-exec-2] s.cs218.news.controller.NewsController   : 403 Forbidden from GET https://gnews.io/api/v4/search?q=Amazon&apikey=afbaeed6659dce03e89a289990194fd0&lang=en&country=us
1683003948274,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""GET /news/search?keyword=Amazon HTTP/1.1"" 200 642"
1683003948298,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""POST /news/user/logout HTTP/1.1"" 302 -"
1683003948326,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""GET /news/user/login HTTP/1.1"" 200 606"
1683003948864,"10.0.1.167 - - [02/May/2023:05:05:48 +0000] ""POST /news/user/login?username=user2&password=user2 HTTP/1.1"" 302 -"
